Sites	Catalog_ID
2	1
1	5
1	6
4	7
4	8
3	9
1	11
5	12
2	13
2	15
10	16
1	17
1	18
1	22
1	25
1	27
2	28
1	31
1	33
1	36
2	38
2	44
1	45
1	46
1	51
2	56
5	59
2	60
1	61
3	63
6	64
1	65
2	69
2	75
4	77
5	78
3	81
1	82
2	83
2	89
2	91
2	92
2	93
5	94
1	95
2	98
1	101
1	102
2	103
1	104
1	105
3	111
5	113
1	114
2	115
1	119
1	120
2	121
5	122
2	123
1	126
5	129
1	130
4	131
1	134
3	135
2	136
1	145
2	151
1	152
3	155
6	158
2	161
1	164
3	169
1	171
2	172
2	173
5	175
1	176
4	178
2	179
3	181
3	189
5	191
2	192
1	193
1	194
2	196
14	199
2	200
1	202
2	203
5	204
2	205
1	208
5	209
1	211
6	215
2	216
2	217
1	218
5	220
2	221
2	223
4	226
4	227
1	230
5	232
4	233
2	238
4	239
1	240
3	244
1	253
1	254
1	255
1	257
1	259
2	260
2	261
1	262
2	263
8	267
1	270
3	273
1	277
1	278
3	279
3	282
7	284
3	287
2	288
2	289
1	290
1	297
6	298
2	300
1	301
3	302
2	303
3	305
1	306
3	308
1	309
4	310
3	313
3	314
1	315
3	316
2	320
1	326
3	327
5	331
1	333
3	335
3	336
2	337
1	338
3	340
1	342
2	343
3	348
5	349
2	351
1	352
3	353
6	354
1	355
1	358
1	360
1	362
1	363
4	364
1	365
1	366
1	368
2	371
1	375
1	376
2	377
3	378
1	379
2	380
2	386
4	387
1	388
1	389
6	392
1	393
3	395
2	399
1	402
2	404
1	406
2	409
3	410
1	411
2	414
5	415
2	416
3	417
4	420
3	421
2	425
3	427
10	429
3	432
1	436
1	443
5	445
3	447
2	448
1	449
2	451
7	455
2	456
3	460
1	461
3	462
2	465
2	467
2	468
6	470
2	473
3	481
1	484
1	486
3	489
1	490
3	491
5	492
9	493
7	496
1	498
3	499
3	505
11	506
1	507
1	509
3	510
6	516
2	519
3	520
1	523
2	525
3	526
1	529
3	531
8	532
6	534
1	535
1	536
2	537
1	539
1	540
1	542
1	544
4	546
5	547
4	551
1	558
1	560
2	562
1	566
2	570
3	576
1	577
2	578
4	580
1	582
1	587
1	589
6	591
5	592
6	593
3	594
1	595
1	597
3	600
1	602
1	606
2	607
1	608
1	610
3	611
4	612
2	618
2	619
1	620
1	621
5	622
8	624
2	628
3	629
2	633
5	634
2	638
3	639
2	644
2	647
1	650
1	651
6	656
3	657
6	658
5	660
1	661
1	662
3	664
3	666
2	667
2	672
1	677
4	678
1	679
