Catalog_ID	SNP_position
1	[1]
5	[0]
6	[0]
9	[1]
11	[0]
12	[3]
13	[0]
15	[0]
17	[0]
18	[0]
22	[0]
25	[0]
27	[0]
28	[0]
31	[0]
33	[0]
36	[0]
38	[1]
44	[1]
45	[0]
46	[0]
51	[0]
56	[1]
60	[0]
61	[0]
63	[0]
65	[0]
69	[1]
75	[1]
81	[1]
82	[0]
83	[0]
89	[0]
91	[1]
92	[0]
94	[3]
95	[0]
98	[0]
101	[0]
102	[0]
103	[0]
104	[0]
105	[0]
111	[2]
113	[1]
114	[0]
115	[1]
119	[0]
120	[0]
121	[1]
123	[0]
126	[0]
129	[4]
130	[0]
134	[0]
136	[1]
145	[0]
151	[0]
152	[0]
161	[0]
164	[0]
169	[1]
171	[0]
172	[1]
173	[0]
176	[0]
179	[1]
181	[0]
189	[2]
192	[0]
193	[0]
194	[0]
196	[0]
200	[1]
202	[0]
204	[2]
208	[0]
209	[4]
211	[0]
216	[1]
217	[1]
218	[0]
220	[4]
221	[0]
223	[0]
227	[1]
230	[0]
233	[3]
238	[0]
239	[0]
240	[0]
244	[1]
253	[0]
254	[0]
255	[0]
257	[0]
259	[0]
260	[1]
261	[0]
262	[0]
263	[0]
270	[0]
277	[0]
278	[0]
279	[0]
282	[2]
284	[1]
287	[0]
288	[0]
289	[0]
290	[0]
297	[0]
300	[1]
301	[0]
303	[0]
305	[2]
306	[0]
309	[0]
310	[0]
313	[2]
314	[1]
315	[0]
316	[2]
326	[0]
327	[0]
333	[0]
335	[2]
338	[0]
340	[1]
342	[0]
343	[1]
348	[2]
349	[0]
351	[1]
352	[0]
353	[1]
354	[1]
355	[0]
358	[0]
360	[0]
362	[0]
363	[0]
364	[0]
365	[0]
366	[0]
368	[0]
371	[0]
375	[0]
376	[0]
377	[1]
379	[0]
380	[1]
386	[0]
387	[3]
388	[0]
389	[0]
393	[0]
395	[1]
399	[1]
402	[0]
404	[1]
406	[0]
409	[0]
411	[0]
414	[1]
415	[4]
416	[0]
417	[0]
420	[3]
421	[0]
425	[1]
427	[2]
432	[0]
436	[0]
443	[0]
445	[2]
447	[2]
449	[0]
451	[0]
456	[0]
460	[2]
461	[0]
462	[2]
465	[0]
468	[1]
470	[4]
473	[1]
481	[2]
484	[0]
486	[0]
489	[1]
490	[0]
491	[1]
498	[0]
505	[1]
507	[0]
509	[0]
510	[2]
516	[1]
519	[1]
520	[2]
523	[0]
525	[0]
529	[0]
531	[1]
532	[4]
535	[0]
536	[0]
537	[1]
539	[0]
540	[0]
542	[0]
544	[0]
547	[3]
558	[0]
560	[0]
562	[1]
566	[0]
570	[0]
576	[1]
577	[0]
580	[1]
582	[0]
587	[0]
589	[0]
593	[5]
594	[2]
595	[0]
597	[0]
600	[1]
602	[0]
606	[0]
607	[0]
608	[0]
610	[0]
611	[2]
612	[0]
618	[0]
620	[0]
621	[0]
628	[0]
629	[0]
633	[1]
638	[1]
644	[1]
647	[1]
650	[0]
651	[0]
657	[2]
661	[0]
662	[0]
664	[0]
666	[1]
667	[0]
672	[1]
677	[0]
679	[0]
682	[1]
684	[0]
685	[0]
686	[0]
692	[1]
693	[1]
695	[0]
703	[0]
708	[0]
712	[0]
715	[0]
716	[2]
718	[1]
721	[0]
723	[0]
724	[0]
728	[2]
729	[0]
731	[0]
735	[5]
737	[0]
738	[0]
739	[0]
742	[0]
746	[1]
747	[0]
751	[1]
762	[0]
763	[0]
768	[0]
769	[0]
771	[0]
772	[1]
778	[0]
780	[1]
781	[0]
782	[0]
783	[0]
790	[1]
791	[0]
792	[1]
794	[0]
795	[0]
797	[2]
799	[0]
801	[0]
813	[0]
820	[0]
823	[0]
824	[1]
826	[1]
827	[0]
828	[1]
830	[5]
833	[0]
835	[0]
839	[0]
843	[0]
845	[0]
846	[0]
850	[1]
851	[0]
852	[0]
855	[1]
856	[0]
858	[1]
861	[0]
862	[0]
863	[0]
864	[0]
865	[0]
866	[0]
867	[0]
869	[1]
872	[0]
874	[0]
875	[1]
878	[0]
879	[2]
880	[0]
884	[1]
885	[0]
894	[3]
896	[0]
898	[0]
902	[0]
909	[1]
916	[0]
917	[0]
919	[1]
927	[1]
929	[2]
933	[0]
937	[1]
938	[0]
939	[1]
941	[0]
948	[1]
949	[1]
950	[0]
951	[0]
954	[2]
956	[2]
962	[0]
964	[0]
966	[0]
974	[1]
977	[0]
978	[2]
979	[1]
981	[0]
983	[0]
986	[0]
988	[5]
989	[0]
992	[0]
995	[3]
999	[0]
1000	[0]
1004	[0]
1010	[0]
1013	[0]
1014	[1]
1015	[0]
1016	[0]
1018	[0]
1020	[0]
1022	[0]
1024	[0]
1026	[0]
1030	[1]
1031	[0]
1039	[0]
1041	[2]
1042	[0]
1044	[1]
1046	[2]
1051	[0]
1058	[0]
1059	[0]
1060	[3]
1062	[0]
1063	[0]
1068	[0]
1069	[0]
1071	[0]
1074	[0]
1077	[0]
1080	[0]
1086	[2]
1087	[0]
1088	[2]
1093	[0]
1097	[1]
1099	[0]
1100	[0]
1104	[1]
1105	[0]
1108	[0]
1111	[2]
1116	[0]
1118	[0]
1121	[1]
1128	[0]
1129	[1]
1133	[0]
1137	[1]
1140	[0]
1143	[0]
1145	[0]
1147	[1]
1148	[0]
1152	[0]
1153	[0]
1161	[1]
1164	[1]
1168	[0]
1169	[0]
1174	[1]
1176	[0]
1177	[0]
1178	[2]
1180	[3]
1184	[1]
1187	[0]
1189	[1]
1191	[1]
1196	[0]
1197	[0]
1199	[3]
1201	[0]
1204	[3]
1211	[1]
1213	[2]
1214	[3]
1219	[0]
1224	[0]
1228	[0]
1231	[0]
1233	[0]
1235	[1]
1237	[2]
1247	[1]
1251	[0]
1253	[0]
1257	[2]
1259	[2]
1260	[0]
1272	[1]
1273	[0]
1276	[0]
1279	[0]
1281	[1]
1282	[0]
1287	[0]
1288	[1]
1289	[1]
1290	[1]
1299	[0]
1302	[0]
1303	[0]
1305	[1]
1306	[0]
1311	[3]
1319	[0]
1323	[0]
1327	[1]
1328	[0]
1330	[0]
1331	[0]
1333	[3]
1336	[0]
1337	[0]
1339	[0]
1341	[1]
1343	[0]
1346	[1]
1348	[0]
1349	[0]
1352	[0]
1355	[0]
1356	[0]
1357	[0]
1359	[1]
1360	[0]
1365	[0]
1368	[2]
1370	[1]
1371	[1]
1373	[0]
1376	[0]
1378	[1]
1382	[0]
1385	[0]
1389	[0]
1392	[0]
1393	[0]
1398	[2]
1399	[0]
1400	[3]
1402	[0]
1405	[0]
1411	[1]
1415	[0]
1417	[0]
1419	[0]
1420	[0]
1421	[0]
1423	[0]
1425	[2]
1428	[0]
1429	[0]
1430	[0]
1431	[2]
1433	[1]
1435	[1]
1436	[1]
1445	[0]
1446	[0]
1451	[0]
1453	[1]
1454	[2]
1455	[0]
1459	[0]
1463	[1]
1466	[0]
1471	[0]
1472	[5]
1473	[1]
1476	[0]
1478	[0]
1481	[2]
1482	[0]
1483	[0]
1487	[0]
1489	[1]
1491	[0]
1497	[1]
1498	[0]
1499	[0]
1500	[0]
1501	[0]
1502	[0]
1504	[1]
1505	[4]
1507	[2]
1509	[0]
1514	[0]
1519	[0]
1523	[0]
1529	[1]
1530	[0]
1532	[0]
1533	[1]
1537	[0]
1539	[0]
1543	[0]
1544	[2]
1552	[0]
1553	[0]
1555	[0]
1567	[0]
1568	[0]
1570	[2]
1571	[2]
1572	[1]
1573	[0]
1574	[1]
1577	[2]
1578	[0]
1580	[0]
1581	[0]
1582	[1]
1584	[2]
1588	[0]
1594	[0]
1600	[0]
1602	[0]
1604	[0]
1605	[0]
1613	[0]
1618	[0]
1620	[2]
1621	[0]
1623	[0]
1630	[2]
1631	[0]
1638	[0]
1648	[1]
1649	[0]
1651	[0]
1653	[0]
1658	[0]
1659	[0]
1662	[1]
1674	[0]
1675	[3]
1676	[0]
1679	[0]
1691	[0]
1692	[1]
1697	[1]
1702	[0]
1706	[0]
1707	[0]
1708	[0]
1709	[0]
1710	[0]
1712	[0]
1714	[0]
1716	[1]
1717	[1]
1718	[1]
1720	[0]
1725	[1]
1730	[1]
1738	[0]
1742	[0]
1751	[0]
1757	[2]
1758	[1]
1760	[1]
1763	[0]
1765	[0]
1770	[0]
1771	[0]
1787	[0]
1791	[0]
1792	[2]
1795	[1]
1796	[2]
1797	[0]
1798	[1]
1801	[0]
1808	[1]
1810	[1]
1812	[0]
1813	[0]
1814	[1]
1816	[0]
1817	[2]
1825	[1]
1828	[0]
1829	[0]
1832	[1]
1833	[2]
1834	[1]
1835	[0]
1839	[2]
1841	[0]
1845	[2]
1846	[0]
1851	[1]
1852	[0]
1854	[0]
1855	[1]
1858	[4]
1860	[0]
1862	[0]
1863	[4]
1869	[1]
1870	[0]
1871	[0]
1875	[0]
1884	[0]
1886	[3]
1888	[0]
1889	[0]
1892	[1]
1894	[0]
1896	[0]
1897	[0]
1905	[0]
1906	[1]
1907	[1]
1909	[0]
1910	[0]
1915	[0]
1917	[0]
1922	[0]
1924	[0]
1927	[0]
1928	[0]
1929	[0]
1931	[0]
1937	[0]
1940	[0]
1941	[1]
1946	[0]
1949	[0]
1951	[2]
1956	[0]
1960	[0]
1966	[0]
1970	[0]
1977	[0]
1978	[0]
1979	[1]
1980	[1]
1983	[0]
1985	[0]
1989	[0]
1990	[0]
1995	[0]
1998	[1]
1999	[0]
2002	[0]
2004	[0]
2007	[2]
2008	[0]
2009	[1]
2015	[0]
2016	[0]
2017	[0]
2018	[0]
2021	[2]
2032	[0]
2033	[0]
2035	[2]
2037	[0]
2041	[0]
2044	[1]
2045	[0]
2053	[0]
2062	[0]
2065	[0]
2067	[1]
2068	[0]
2071	[0]
2074	[0]
2076	[0]
2078	[1]
2080	[0]
2082	[0]
2091	[1]
2097	[1]
2099	[0]
2101	[2]
2107	[0]
2109	[0]
2112	[1]
2113	[1]
2115	[0]
2119	[0]
2121	[1]
2124	[0]
2126	[0]
2132	[0]
2137	[0]
2138	[0]
2139	[0]
2142	[0]
2143	[0]
2144	[0]
2146	[0]
2148	[1]
2152	[0]
2153	[1]
2155	[0]
2156	[0]
2159	[1]
2169	[0]
2170	[1]
2171	[0]
2172	[0]
2174	[1]
2185	[0]
2193	[7]
2195	[0]
2196	[0]
2200	[0]
2201	[1]
2202	[0]
2203	[0]
2205	[2]
2206	[0]
2209	[0]
2216	[1]
2217	[0]
2218	[0]
2219	[0]
2222	[1]
2223	[0]
2225	[0]
2229	[0]
2233	[1]
2241	[0]
2242	[0]
2246	[0]
2247	[0]
2251	[0]
2256	[0]
2258	[1]
2261	[0]
2262	[0]
2265	[0]
2269	[0]
2278	[0]
2287	[0]
2288	[1]
2294	[1]
2301	[0]
2306	[1]
2311	[2]
2316	[0]
2320	[0]
2322	[0]
2331	[3]
2335	[0]
2338	[1]
2339	[0]
2344	[0]
2345	[0]
2348	[0]
2349	[1]
2354	[0]
2356	[1]
2357	[1]
2358	[0]
2361	[0]
2362	[0]
2363	[0]
2365	[0]
2367	[0]
2372	[1]
2374	[0]
2375	[0]
2379	[0]
2380	[0]
2383	[0]
2385	[0]
2387	[1]
2389	[0]
2391	[0]
2392	[0]
2400	[0]
2401	[0]
2403	[1]
2414	[0]
2419	[0]
2420	[0]
2422	[0]
2432	[0]
2433	[0]
2435	[0]
2436	[0]
2437	[0]
2441	[0]
2446	[0]
2454	[0]
2456	[0]
2466	[0]
2468	[0]
2472	[1]
2474	[1]
2476	[0]
2477	[0]
2481	[0]
2485	[0]
2489	[2]
2494	[0]
2495	[0]
2500	[0]
2503	[0]
2507	[1]
2512	[0]
2514	[0]
2523	[0]
2524	[0]
2530	[0]
2534	[1]
2539	[0]
2540	[1]
2544	[1]
2545	[1]
2547	[1]
2550	[0]
2551	[1]
2557	[0]
2559	[0]
2568	[2]
2575	[1]
2581	[1]
2583	[2]
2587	[0]
2590	[0]
2592	[0]
2596	[4]
2598	[1]
2602	[0]
2605	[0]
2607	[2]
2610	[0]
2612	[0]
2614	[1]
2616	[0]
2621	[1]
2630	[0]
2631	[0]
2634	[2]
2635	[1]
2637	[0]
2638	[2]
2649	[0]
2656	[1]
2659	[0]
2662	[5]
2663	[1]
2664	[1]
2665	[0]
2666	[2]
2668	[0]
2669	[0]
2677	[0]
2687	[0]
2689	[2]
2707	[0]
2708	[2]
2716	[1]
2717	[0]
2718	[0]
2720	[1]
2721	[0]
2723	[0]
2725	[0]
2731	[0]
2734	[1]
2736	[0]
2737	[0]
2738	[0]
2743	[0]
2754	[2]
2759	[1]
2760	[1]
2761	[0]
2764	[0]
2768	[0]
2769	[0]
2771	[0]
2775	[1]
2779	[0]
2781	[0]
2782	[0]
2785	[5]
2791	[0]
2792	[1]
2794	[0]
2795	[0]
2800	[3]
2801	[1]
2802	[0]
2805	[0]
2806	[0]
2808	[1]
2809	[0]
2812	[1]
2813	[1]
2814	[0]
2815	[0]
2818	[0]
2820	[1]
2834	[0]
2839	[0]
2841	[0]
2849	[0]
2852	[0]
2853	[0]
2857	[2]
2862	[0]
2864	[1]
2865	[1]
2869	[1]
2870	[1]
2876	[0]
2878	[0]
2881	[0]
2887	[0]
2888	[0]
2892	[1]
2899	[0]
2901	[0]
2902	[0]
2903	[0]
2904	[0]
2908	[0]
2909	[0]
2912	[0]
2914	[1]
2919	[0]
2920	[0]
2921	[0]
2922	[0]
2929	[0]
2935	[0]
2936	[0]
2938	[0]
2940	[1]
2951	[1]
2952	[0]
2957	[1]
2961	[0]
2964	[2]
2965	[2]
2967	[1]
2968	[4]
2973	[0]
2980	[0]
2982	[0]
2987	[1]
2988	[0]
2993	[2]
2994	[1]
2995	[0]
3000	[2]
3001	[1]
3003	[0]
3005	[0]
3008	[2]
3010	[1]
3012	[0]
3019	[0]
3020	[0]
3021	[1]
3027	[0]
3029	[1]
3032	[0]
3033	[0]
3035	[0]
3037	[1]
3047	[0]
3049	[0]
3051	[0]
3071	[1]
3074	[0]
3079	[0]
3082	[0]
3083	[0]
3085	[0]
3086	[0]
3089	[0]
3092	[0]
3093	[0]
3095	[0]
3100	[0]
3110	[2]
3114	[0]
3117	[0]
3122	[0]
3127	[0]
3131	[1]
3134	[1]
3136	[0]
3139	[0]
3142	[0]
3145	[0]
3146	[0]
3153	[0]
3156	[0]
3157	[0]
3159	[0]
3164	[0]
3166	[0]
3167	[0]
3170	[0]
3174	[0]
3180	[0]
3182	[0]
3186	[0]
